n,bi_us,zint_us,zint_over_bi
2,0.004,0.004,1.030132
3,0.008,0.009,1.049755
4,0.014,0.015,1.032071
5,0.022,0.023,1.030410
6,0.031,0.031,1.006516
7,0.043,0.041,0.971230
8,0.056,0.054,0.970389
10,0.091,0.081,0.886753
12,0.135,0.111,0.823496
14,0.182,0.147,0.803235
16,0.240,0.181,0.755739
20,0.369,0.376,1.019407
24,0.559,0.563,1.007199
32,1.050,1.050,0.999898
48,2.469,2.468,0.999453
64,4.487,4.488,1.000182
