n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.501348
2,0.001,0.002,2.739936
4,0.001,0.001,1.038724
8,0.002,0.001,0.633317
16,0.004,0.002,0.467274
32,0.008,0.003,0.332292
64,0.017,0.005,0.303160
128,0.036,0.009,0.251311
256,0.067,0.023,0.343920
512,0.144,0.030,0.205515
1024,0.284,0.055,0.193671
2048,0.561,0.286,0.509454
4096,1.376,0.576,0.418834
8192,2.824,1.159,0.410482
16384,5.411,2.316,0.428075
