n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.001348
2,0.001,0.002,2.435588
4,0.001,0.001,0.869565
8,0.002,0.001,0.545695
16,0.004,0.002,0.421529
32,0.008,0.003,0.341171
64,0.017,0.005,0.303702
128,0.036,0.009,0.252387
256,0.067,0.023,0.341249
512,0.144,0.029,0.201385
1024,0.286,0.054,0.188861
2048,0.565,0.286,0.506900
4096,1.381,0.575,0.416449
8192,2.812,1.161,0.412886
16384,5.426,2.334,0.430193
