n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.970169
2,0.001,0.002,2.676991
4,0.001,0.001,1.199894
8,0.002,0.001,0.774023
16,0.006,0.002,0.306647
32,0.013,0.003,0.207257
64,0.025,0.004,0.163969
128,0.048,0.008,0.160369
256,0.071,0.023,0.316822
512,0.119,0.032,0.263653
1024,0.215,0.057,0.264423
2048,0.408,0.111,0.271590
4096,1.082,0.385,0.356126
8192,2.027,0.784,0.386543
16384,3.902,1.591,0.407791
