n,bi_us,zint_us,zint_over_bi
64,10.917,9.255,0.847724
128,32.211,27.312,0.847905
256,97.377,78.556,0.806719
512,281.252,232.404,0.826319
1024,307.440,281.824,0.916680
2048,558.886,534.986,0.957236
4096,1223.307,1094.287,0.894532
8192,2274.753,2156.547,0.948035
16384,4806.686,4520.429,0.940446
