n,bi_us,zint_us,zint_over_bi
64,2.409,1.917,0.795920
128,7.403,6.010,0.811839
256,22.588,18.278,0.809200
512,68.461,55.942,0.817142
1024,42.172,42.154,0.999573
2048,87.200,88.806,1.018423
4096,184.350,182.974,0.992537
8192,380.667,379.108,0.995906
16384,805.437,803.850,0.998030
