n,bi_us,zint_us,zint_over_bi
1,0.000,0.002,4.054960
2,0.001,0.002,3.029791
4,0.001,0.001,1.210984
8,0.002,0.002,0.727338
16,0.004,0.002,0.474934
32,0.008,0.003,0.330638
64,0.017,0.005,0.297332
128,0.034,0.009,0.262206
256,0.067,0.023,0.345942
512,0.142,0.030,0.210239
1024,0.286,0.056,0.194930
2048,0.565,0.286,0.506813
4096,1.383,0.575,0.415925
8192,2.804,1.166,0.415918
16384,5.424,2.351,0.433375
