n,bi_us,zint_us,zint_over_bi
2,0.004,0.004,1.011270
3,0.010,0.010,0.992995
4,0.014,0.014,0.995895
5,0.020,0.020,1.002325
6,0.026,0.025,0.995302
7,0.032,0.032,1.000338
8,0.039,0.039,0.984859
10,0.056,0.056,0.997092
12,0.078,0.078,0.999653
14,0.103,0.102,0.996199
16,0.131,0.131,1.001724
20,0.204,0.203,0.999247
24,0.293,0.292,0.996646
32,0.524,0.524,1.001184
48,1.212,1.212,0.999979
64,2.196,2.205,1.004170
