n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.498660
2,0.001,0.002,2.741270
4,0.001,0.001,1.044025
8,0.002,0.001,0.636471
16,0.004,0.002,0.474452
32,0.008,0.003,0.336588
64,0.016,0.005,0.284878
128,0.037,0.010,0.262602
256,0.069,0.018,0.266789
512,0.147,0.030,0.206077
1024,0.271,0.057,0.209677
2048,0.570,0.285,0.501053
4096,1.374,0.576,0.419421
8192,2.847,1.158,0.406913
16384,5.410,2.356,0.435596
