n,bi_us,zint_us,zint_over_bi
1,0.000,0.002,4.015852
2,0.001,0.002,3.041237
4,0.001,0.001,1.217509
8,0.002,0.002,0.730742
16,0.004,0.002,0.476214
32,0.008,0.003,0.336101
64,0.016,0.005,0.288225
128,0.035,0.010,0.270562
256,0.068,0.018,0.270212
512,0.149,0.031,0.205253
1024,0.269,0.056,0.207554
2048,0.569,0.286,0.502900
4096,1.387,0.577,0.416222
8192,2.836,1.165,0.410860
16384,5.464,2.354,0.430747
