n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.000000
2,0.001,0.002,2.667826
4,0.001,0.001,1.199792
8,0.002,0.001,0.777585
16,0.006,0.002,0.310786
32,0.013,0.003,0.207705
64,0.025,0.004,0.167716
128,0.049,0.008,0.160736
256,0.074,0.014,0.188884
512,0.123,0.032,0.262772
1024,0.217,0.059,0.271700
2048,0.411,0.111,0.270297
4096,1.111,0.385,0.346202
8192,2.042,0.783,0.383350
16384,3.848,1.570,0.408108
