n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.017426
2,0.001,0.002,2.435229
4,0.001,0.001,1.038617
8,0.002,0.001,0.545412
16,0.004,0.002,0.426988
32,0.008,0.003,0.335267
64,0.016,0.005,0.287868
128,0.037,0.010,0.261194
256,0.069,0.018,0.265628
512,0.148,0.030,0.202027
1024,0.273,0.054,0.198992
2048,0.573,0.286,0.499128
4096,1.386,0.575,0.414587
8192,2.838,1.166,0.410712
16384,5.450,2.360,0.433069
