n,bi_us,zint_us,zint_over_bi
2,0.004,0.005,1.086635
3,0.011,0.011,0.949926
4,0.014,0.014,0.995892
5,0.022,0.019,0.882536
6,0.026,0.024,0.938249
7,0.031,0.028,0.899940
8,0.039,0.034,0.878218
10,0.056,0.046,0.827646
12,0.078,0.061,0.780479
14,0.103,0.075,0.732145
16,0.132,0.092,0.692971
20,0.204,0.130,0.636441
24,0.293,0.172,0.586191
32,0.524,0.275,0.523916
48,1.209,0.557,0.460305
64,2.205,0.967,0.438648
