n,bi_us,zint_us,zint_over_bi
2,0.004,0.005,1.189313
3,0.010,0.009,0.860161
4,0.015,0.012,0.812539
5,0.023,0.016,0.698850
6,0.033,0.032,0.992081
7,0.044,0.042,0.951952
8,0.058,0.052,0.908688
10,0.089,0.077,0.870355
12,0.131,0.108,0.826379
14,0.179,0.144,0.801937
16,0.237,0.184,0.776111
20,0.374,0.166,0.442619
24,0.563,0.235,0.417567
32,1.050,0.403,0.383452
48,2.499,0.903,0.361230
64,4.516,1.594,0.352958
