n,bi_us,zint_us,zint_over_bi
64,10.927,7.985,0.730799
128,31.866,24.870,0.780465
256,94.981,76.248,0.802769
512,281.766,229.392,0.814124
1024,306.808,279.212,0.910054
2048,558.618,531.194,0.950907
4096,1149.347,1064.317,0.926019
8192,2358.080,2142.660,0.908646
16384,4805.200,4478.571,0.932026
