n,bi_us,zint_us,zint_over_bi
2,0.004,0.005,1.097301
3,0.009,0.009,0.954974
4,0.014,0.015,1.025340
5,0.022,0.022,1.019570
6,0.031,0.031,1.009930
7,0.043,0.041,0.949464
8,0.056,0.052,0.935689
10,0.089,0.078,0.876687
12,0.131,0.109,0.837734
14,0.179,0.144,0.805182
16,0.234,0.181,0.774700
20,0.371,0.169,0.454446
24,0.561,0.237,0.422359
32,1.050,0.409,0.389382
48,2.486,0.902,0.362851
64,4.495,1.583,0.352230
