n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,4.001348
2,0.001,0.002,3.043054
4,0.001,0.001,1.217270
8,0.002,0.001,0.727184
16,0.004,0.002,0.476088
32,0.008,0.003,0.341505
64,0.016,0.005,0.286045
128,0.034,0.009,0.271426
256,0.067,0.018,0.268901
512,0.132,0.030,0.226997
1024,0.263,0.055,0.210486
2048,0.568,0.288,0.507313
4096,1.224,0.582,0.475082
8192,2.894,1.158,0.400194
16384,5.466,2.399,0.438964
