n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.501348
2,0.001,0.002,2.727346
4,0.001,0.001,1.043698
8,0.002,0.001,0.636408
16,0.004,0.002,0.473929
32,0.008,0.003,0.341217
64,0.016,0.005,0.287122
128,0.035,0.009,0.265890
256,0.067,0.018,0.266772
512,0.131,0.030,0.226034
1024,0.263,0.055,0.211083
2048,0.564,0.286,0.507891
4096,1.215,0.582,0.478887
8192,2.934,1.158,0.394873
16384,5.359,2.364,0.441144
