n,bi_us,zint_us,zint_over_bi
2,0.004,0.004,0.981928
3,0.009,0.010,1.034183
4,0.015,0.013,0.899209
5,0.023,0.018,0.760570
6,0.026,0.023,0.872812
7,0.031,0.029,0.948671
8,0.038,0.033,0.870841
10,0.056,0.047,0.835858
12,0.078,0.058,0.741292
14,0.103,0.074,0.716743
16,0.132,0.090,0.681634
20,0.203,0.126,0.621419
24,0.292,0.170,0.580822
32,0.526,0.272,0.517393
48,1.213,0.554,0.456877
64,2.193,0.930,0.424074
