n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.014825
2,0.001,0.001,2.667854
4,0.001,0.001,1.199680
8,0.002,0.001,0.777811
16,0.006,0.002,0.312149
32,0.013,0.003,0.208510
64,0.025,0.004,0.167787
128,0.048,0.008,0.160240
256,0.072,0.014,0.189896
512,0.119,0.032,0.264878
1024,0.215,0.057,0.264969
2048,0.412,0.112,0.271734
4096,1.023,0.390,0.380952
8192,2.043,0.782,0.382929
16384,3.837,1.596,0.415972
