n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.001348
2,0.001,0.001,2.435772
4,0.001,0.001,1.042514
8,0.002,0.001,0.545256
16,0.004,0.002,0.427814
32,0.008,0.002,0.313097
64,0.016,0.005,0.287191
128,0.037,0.009,0.254838
256,0.068,0.018,0.264107
512,0.133,0.029,0.219549
1024,0.264,0.054,0.206283
2048,0.569,0.287,0.503514
4096,1.216,0.582,0.478611
8192,2.892,1.158,0.400498
16384,5.439,2.352,0.432490
