n,bi_us,zint_us,zint_over_bi
64,2.443,2.415,0.988610
128,7.469,7.673,1.027292
256,22.629,22.646,1.000720
512,68.636,68.726,1.001314
1024,42.061,42.209,1.003519
2048,87.337,87.185,0.998260
4096,184.256,183.772,0.997373
8192,381.980,381.135,0.997788
16384,807.680,805.320,0.997078
