n,bi_us,zint_us,zint_over_bi
64,11.523,10.428,0.904903
128,32.620,31.301,0.959565
256,97.969,96.818,0.988253
512,292.521,309.336,1.057484
1024,318.630,316.108,0.992085
2048,583.040,574.768,0.985812
4096,1217.383,1144.858,0.940426
8192,2410.380,2256.460,0.936143
16384,5100.600,4718.100,0.925009
