n,bi_us,zint_us,zint_over_bi
64,11.284,9.855,0.873397
128,32.829,28.128,0.856787
256,97.916,81.963,0.837069
512,288.633,239.537,0.829902
1024,316.961,292.637,0.923259
2048,577.886,571.970,0.989763
4096,1166.223,1169.777,1.003047
8192,2340.920,2211.333,0.944643
16384,4960.643,4638.786,0.935118
