n,bi_us,zint_us,zint_over_bi
64,2.508,1.976,0.787995
128,7.652,6.207,0.811147
256,23.277,18.744,0.805285
512,69.910,57.143,0.817385
1024,43.880,43.531,0.992039
2048,90.679,90.750,1.000783
4096,193.119,217.280,1.125108
8192,392.705,415.460,1.057944
16384,829.850,840.643,1.013006
