n,bi_us,zint_us,zint_over_bi
2,0.004,0.006,1.356063
3,0.008,0.010,1.179628
4,0.015,0.015,1.041537
5,0.022,0.022,1.016239
6,0.032,0.032,0.983773
7,0.044,0.042,0.959150
8,0.057,0.054,0.943369
10,0.091,0.081,0.889525
12,0.132,0.107,0.811593
14,0.177,0.141,0.799811
16,0.235,0.182,0.772884
20,0.382,0.460,1.204239
24,0.577,0.668,1.158947
32,1.074,1.174,1.092859
48,2.471,2.675,1.082802
64,4.516,4.764,1.054837
