n,bi_us,zint_us,zint_over_bi
2,0.004,0.006,1.487554
3,0.009,0.010,1.086203
4,0.015,0.015,1.026330
5,0.023,0.022,0.938641
6,0.026,0.030,1.155169
7,0.031,0.039,1.265194
8,0.039,0.050,1.289182
10,0.055,0.074,1.350519
12,0.078,0.104,1.336807
14,0.102,0.138,1.351370
16,0.132,0.177,1.340617
20,0.203,0.204,1.006853
24,0.297,0.298,1.002898
32,0.535,0.534,0.997097
48,1.223,1.221,0.998379
64,2.214,2.204,0.995641
