n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,4.002685
2,0.001,0.002,3.029791
4,0.001,0.001,1.222736
8,0.002,0.002,0.727338
16,0.004,0.002,0.471023
32,0.008,0.003,0.341432
64,0.016,0.005,0.286677
128,0.036,0.013,0.346473
256,0.067,0.018,0.268537
512,0.146,0.030,0.205194
1024,0.266,0.056,0.208314
2048,0.571,0.286,0.501576
4096,1.413,0.580,0.410619
8192,2.836,1.165,0.410918
16384,5.323,2.332,0.438007
