n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.502013
2,0.001,0.002,2.739936
4,0.001,0.001,1.043498
8,0.002,0.001,0.635534
16,0.004,0.002,0.472448
32,0.008,0.003,0.337924
64,0.016,0.005,0.285220
128,0.035,0.013,0.361170
256,0.068,0.018,0.265688
512,0.144,0.030,0.205106
1024,0.267,0.055,0.205447
2048,0.568,0.285,0.502467
4096,1.399,0.576,0.411882
8192,2.848,1.158,0.406601
16384,5.323,2.322,0.436237
