n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.998660
2,0.001,0.002,2.666076
4,0.001,0.001,1.199787
8,0.002,0.001,0.774136
16,0.006,0.002,0.310900
32,0.013,0.003,0.208884
64,0.025,0.004,0.167775
128,0.048,0.013,0.263232
256,0.072,0.014,0.189508
512,0.120,0.030,0.252391
1024,0.215,0.058,0.271269
2048,0.411,0.113,0.274848
4096,1.137,0.386,0.339873
8192,2.044,0.783,0.383050
16384,3.844,1.579,0.410779
