n,bi_us,zint_us,zint_over_bi
1,0.000,0.002,4.000000
2,0.001,0.002,3.044283
4,0.001,0.001,1.217571
8,0.002,0.002,0.730704
16,0.004,0.002,0.474285
32,0.008,0.003,0.325077
64,0.015,0.005,0.312984
128,0.035,0.009,0.262286
256,0.067,0.018,0.271087
512,0.135,0.030,0.223988
1024,0.269,0.056,0.207519
2048,0.574,0.289,0.503746
4096,1.237,0.585,0.472599
8192,2.895,1.183,0.408538
16384,5.444,2.352,0.432109
