n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.989460
2,0.001,0.002,2.435588
4,0.001,0.001,1.038919
8,0.002,0.001,0.545323
16,0.004,0.002,0.427799
32,0.008,0.002,0.301740
64,0.016,0.005,0.310915
128,0.036,0.009,0.251292
256,0.068,0.018,0.269295
512,0.133,0.030,0.223122
1024,0.270,0.054,0.201502
2048,0.572,0.288,0.503412
4096,1.232,0.584,0.473659
8192,2.899,1.177,0.406099
16384,5.453,2.352,0.431338
