n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.986772
2,0.001,0.002,2.667549
4,0.001,0.001,1.199474
8,0.002,0.001,0.774429
16,0.006,0.002,0.312170
32,0.013,0.003,0.208884
64,0.025,0.004,0.168572
128,0.048,0.008,0.160771
256,0.072,0.016,0.220679
512,0.121,0.032,0.265344
1024,0.218,0.058,0.266445
2048,0.412,0.114,0.275996
4096,1.038,0.395,0.380237
8192,2.088,0.792,0.379502
16384,3.842,1.596,0.415556
