n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.498684
2,0.001,0.002,2.739130
4,0.001,0.001,1.043498
8,0.002,0.001,0.636211
16,0.004,0.002,0.475538
32,0.008,0.003,0.325449
64,0.016,0.005,0.310396
128,0.036,0.009,0.251292
256,0.068,0.018,0.268514
512,0.135,0.030,0.223911
1024,0.268,0.056,0.208155
2048,0.574,0.287,0.500000
4096,1.233,0.583,0.472715
8192,2.937,1.181,0.402016
16384,5.462,2.336,0.427787
