n,bi_us,zint_us,zint_over_bi
64,11.831,11.956,1.010501
128,33.443,39.644,1.185422
256,115.949,97.270,0.838908
512,292.219,290.454,0.993958
1024,320.618,315.438,0.983844
2048,586.976,575.444,0.980354
4096,1209.508,1129.875,0.934161
8192,2394.220,2265.320,0.946162
16384,5100.400,4653.767,0.912432
