n,bi_us,zint_us,zint_over_bi
64,2.505,2.474,0.987593
128,7.676,7.624,0.993258
256,23.777,23.347,0.981899
512,70.576,70.620,1.000621
1024,43.608,43.394,0.995081
2048,89.746,89.559,0.997916
4096,195.432,189.328,0.968767
8192,393.290,392.420,0.997788
16384,829.910,830.590,1.000819
