n,bi_us,zint_us,zint_over_bi
64,11.975,10.173,0.849554
128,33.631,29.394,0.874021
256,98.448,84.840,0.861775
512,309.789,245.665,0.793007
1024,340.644,301.112,0.883949
2048,584.652,568.686,0.972691
4096,1290.147,1117.097,0.865868
8192,2593.833,2379.493,0.917366
16384,5223.714,5018.557,0.960726
