n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.764706
2,0.001,0.002,2.756757
4,0.001,0.001,1.127326
8,0.002,0.001,0.777810
16,0.006,0.002,0.306048
32,0.015,0.003,0.190022
64,0.027,0.004,0.153399
128,0.050,0.008,0.158811
256,0.077,0.014,0.180796
512,0.124,0.033,0.263339
1024,0.225,0.059,0.264569
2048,0.414,0.115,0.277187
4096,1.162,0.406,0.349686
8192,2.093,0.828,0.395758
16384,3.966,1.620,0.408412
