n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.997386
2,0.001,0.002,2.424290
4,0.001,0.001,0.867627
8,0.002,0.001,0.548127
16,0.004,0.002,0.415555
32,0.008,0.003,0.327335
64,0.016,0.005,0.284201
128,0.036,0.010,0.277788
256,0.070,0.019,0.269663
512,0.149,0.030,0.201812
1024,0.275,0.056,0.203530
2048,0.622,0.296,0.476267
4096,1.450,0.589,0.406470
8192,2.924,1.200,0.410590
16384,5.562,2.436,0.437900
