n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.581152
2,0.001,0.002,2.756270
4,0.001,0.001,1.127027
8,0.002,0.001,0.636235
16,0.004,0.002,0.468860
32,0.008,0.003,0.346951
64,0.016,0.005,0.280688
128,0.036,0.010,0.280724
256,0.070,0.018,0.262409
512,0.150,0.031,0.203364
1024,0.277,0.056,0.203463
2048,0.580,0.293,0.504826
4096,1.444,0.593,0.410787
8192,3.021,1.192,0.394413
16384,5.514,2.428,0.440302
