n,bi_us,zint_us,zint_over_bi
1,0.000,0.002,4.098168
2,0.001,0.002,2.882633
4,0.001,0.001,1.218948
8,0.002,0.002,0.727058
16,0.004,0.002,0.490314
32,0.008,0.003,0.335275
64,0.016,0.005,0.298782
128,0.037,0.010,0.283101
256,0.070,0.018,0.263118
512,0.150,0.031,0.205505
1024,0.275,0.056,0.204399
2048,0.588,0.290,0.493281
4096,1.427,0.592,0.414938
8192,2.958,1.189,0.401839
16384,5.537,2.488,0.449252
