n,bi_us,zint_us,zint_over_bi
64,2.632,2.050,0.778875
128,7.871,6.305,0.801104
256,25.377,19.086,0.752107
512,73.270,61.536,0.839855
1024,43.566,44.100,1.012257
2048,94.856,96.576,1.018133
4096,199.783,197.028,0.986206
8192,424.847,418.958,0.986140
16384,887.877,839.533,0.945552
