n,bi_us,zint_us,zint_over_bi
64,2.464,2.456,0.996769
128,7.564,7.543,0.997158
256,22.917,22.921,1.000170
512,69.473,69.656,1.002625
1024,42.899,42.760,0.996775
2048,88.483,88.855,1.004204
4096,187.660,187.262,0.997877
8192,385.883,386.157,1.000708
16384,819.463,816.443,0.996315
