n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.500668
2,0.001,0.002,2.752381
4,0.001,0.001,1.043576
8,0.002,0.001,0.639251
16,0.004,0.002,0.472883
32,0.008,0.003,0.333952
64,0.016,0.005,0.286703
128,0.037,0.009,0.256518
256,0.069,0.018,0.260853
512,0.145,0.030,0.205776
1024,0.289,0.055,0.191237
2048,0.572,0.289,0.505944
4096,1.398,0.583,0.417048
8192,2.974,1.169,0.393006
16384,5.434,2.328,0.428445
