n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,3.002660
2,0.001,0.002,2.435714
4,0.001,0.001,1.038634
8,0.002,0.001,0.545519
16,0.004,0.002,0.427620
32,0.008,0.003,0.335963
64,0.016,0.005,0.286171
128,0.037,0.009,0.257008
256,0.069,0.018,0.262058
512,0.146,0.029,0.202057
1024,0.293,0.053,0.182377
2048,0.574,0.290,0.504876
4096,1.410,0.580,0.411151
8192,2.939,1.169,0.397849
16384,5.433,2.347,0.431969
