n,bi_us,zint_us,zint_over_bi
1,0.000,0.002,4.078042
2,0.001,0.002,3.043651
4,0.001,0.001,1.217058
8,0.002,0.002,0.727187
16,0.004,0.002,0.472756
32,0.008,0.003,0.338140
64,0.016,0.005,0.286038
128,0.035,0.009,0.268997
256,0.069,0.018,0.264657
512,0.146,0.030,0.205115
1024,0.293,0.056,0.189689
2048,0.580,0.290,0.499655
4096,1.415,0.581,0.410659
8192,2.926,1.169,0.399535
16384,5.453,2.353,0.431485
