n,bi_us,zint_us,zint_over_bi
1,0.000,0.001,2.971722
2,0.001,0.002,2.665508
4,0.001,0.001,1.199792
8,0.002,0.001,0.777520
16,0.006,0.002,0.312025
32,0.013,0.003,0.207951
64,0.025,0.004,0.167727
128,0.049,0.008,0.159771
256,0.074,0.014,0.186746
512,0.121,0.030,0.252483
1024,0.217,0.058,0.265724
2048,0.411,0.112,0.272617
4096,1.140,0.388,0.340319
8192,2.067,0.790,0.382159
16384,3.958,1.589,0.401455
